DATAHORA,ALTURA,INFLEXAO,t,T,n1,n2,h1,h2
2006-07-09 06:30:00,1.0484447507439443,False,238,403,2.0,0.5,0.3656298338292961,0.634370166170704
2006-07-09 06:40:00,0.9949931725079655,False,248,403,2.0,0.5,0.32999544833864364,0.6700045516613564
2006-07-09 06:50:00,0.9428204169215463,False,258,403,2.0,0.5,0.29521361128103085,0.7047863887189691
2006-07-09 07:00:00,0.8922014996082479,False,268,403,2.0,0.5,0.26146766640549857,0.7385323335945014
2006-07-09 07:10:00,0.8434114361916314,False,278,403,2.0,0.5,0.22894095746108756,0.7710590425389124
2006-07-09 07:20:00,0.7967252422952575,False,288,403,2.0,0.5,0.19781682819683832,0.8021831718031617
2006-07-09 07:30:00,0.7524179335426887,False,298,403,2.0,0.5,0.16827862236179247,0.8317213776382075
2006-07-09 07:40:00,0.7107645255574843,False,308,403,2.0,0.5,0.1405096837049895,0.8594903162950105
2006-07-09 07:50:00,0.6720400339632072,False,318,403,2.0,0.5,0.11469335597547148,0.8853066440245285
2006-07-09 08:00:00,0.6365194743834175,False,328,403,2.0,0.5,0.09101298292227833,0.9089870170777217
2006-07-09 08:10:00,0.604477862441677,False,338,403,2.0,0.5,0.06965190829445134,0.9303480917055487
2006-07-09 08:20:00,0.5761902137615463,False,348,403,2.0,0.5,0.05079347584103089,0.9492065241589691
2006-07-09 08:30:00,0.5519315439665877,False,358,403,2.0,0.5,0.03462102931105848,0.9653789706889415
2006-07-09 08:40:00,0.5319768686803608,False,368,403,2.0,0.5,0.02131791245357384,0.9786820875464262
2006-07-09 08:50:00,0.5166012035264277,False,378,403,2.0,0.5,0.011067469017618459,0.9889325309823815
2006-07-09 09:00:00,0.5060795641283494,False,388,403,2.0,0.5,0.004053042752232949,0.995946957247767
2006-07-09 09:10:00,0.5006869661096869,False,398,403,2.0,0.5,0.0004579774064579212,0.9995420225935421
2006-07-09 09:15:00,0.5,True,0,0,,,,
2006-07-09 09:20:00,0.5007683195965521,False,5,368,0.5,1.9,0.999451200288177,0.0005487997118229637
2006-07-09 09:30:00,0.5067884618101216,False,15,368,0.5,1.9,0.995151098707056,0.0048489012929440285
2006-07-09 09:40:00,0.5185056868090943,False,25,368,0.5,1.9,0.9867816522792183,0.013218347720781622
2006-07-09 09:50:00,0.5355828891032095,False,35,368,0.5,1.9,0.9745836506405646,0.025416349359435358
2006-07-09 10:00:00,0.5576829632022068,False,45,368,0.5,1.9,0.9587978834269951,0.04120211657300485
2006-07-09 10:10:00,0.5844688036158255,False,55,368,0.5,1.9,0.9396651402744103,0.06033485972558971
2006-07-09 10:20:00,0.6156033048538054,False,65,368,0.5,1.9,0.9174262108187105,0.08257378918128958
2006-07-09 10:30:00,0.6507493614258856,False,75,368,0.5,1.9,0.892321884695796,0.10767811530420399
2006-07-09 10:40:00,0.6895698678418057,False,85,368,0.5,1.9,0.8645929515415675,0.13540704845843266
2006-07-09 10:50:00,0.7317277186113051,False,95,368,0.5,1.9,0.8344802009919249,0.16551979900807512
2006-07-09 11:00:00,0.7768858082441233,False,105,368,0.5,1.9,0.802224422682769,0.197775577317231
2006-07-09 11:10:00,0.82470703125,False,115,368,0.5,1.9,0.76806640625,0.23193359375
2006-07-09 11:20:00,0.8748542821386742,False,125,368,0.5,1.9,0.7322469413295184,0.2677530586704816
2006-07-09 11:30:00,0.9269904554198858,False,135,368,0.5,1.9,0.6950068175572244,0.30499318244277557
2006-07-09 11:40:00,0.9807784456033739,False,145,368,0.5,1.9,0.6565868245690186,0.3434131754309814
2006-07-09 11:50:00,1.0358811471988782,False,155,368,0.5,1.9,0.6172277520008013,0.38277224799919873
2006-07-09 12:00:00,1.091961454716138,False,165,368,0.5,1.9,0.5771703894884729,0.4228296105115271
2006-07-09 12:10:00,1.1486822626648927,False,175,368,0.5,1.9,0.5366555266679337,0.4633444733320663
2006-07-09 12:20:00,1.205706465554882,False,185,368,0.5,1.9,0.4959239531750843,0.5040760468249157
2006-07-09 12:30:00,1.2626969578958451,False,195,368,0.5,1.9,0.4552164586458249,0.5447835413541751
2006-07-09 12:40:00,1.3193166341975218,False,205,368,0.5,1.9,0.41477383271605567,0.5852261672839443
2006-07-09 12:50:00,1.3752283889696515,False,215,368,0.5,1.9,0.37483686502167746,0.6251631349783225
2006-07-09 13:00:00,1.430095116721973,False,225,368,0.5,1.9,0.33564634519859043,0.6643536548014095
2006-07-09 13:10:00,1.483579711964227,False,235,368,0.5,1.9,0.29744306288269484,0.7025569371173052
2006-07-09 13:20:00,1.5353450692061519,False,245,368,0.5,1.9,0.2604678077098914,0.7395321922901086
2006-07-09 13:30:00,1.5850540829574875,False,255,368,0.5,1.9,0.22496136931608035,0.7750386306839196
2006-07-09 13:40:00,1.6323696477279734,False,265,368,0.5,1.9,0.19116453733716188,0.8088354626628381
2006-07-09 13:50:00,1.6769546580273482,False,275,368,0.5,1.9,0.1593181014090369,0.8406818985909631
2006-07-09 14:00:00,1.718472008365353,False,285,368,0.5,1.9,0.1296628511676049,0.8703371488323951
2006-07-09 14:10:00,1.7565845932517261,False,295,368,0.5,1.9,0.1024395762487671,0.8975604237512329
2006-07-09 14:20:00,1.790955307196207,False,305,368,0.5,1.9,0.07788906628842351,0.9221109337115765
2006-07-09 14:30:00,1.821247044708536,False,315,368,0.5,1.9,0.056252110922474285,0.9437478890775257
2006-07-09 14:40:00,1.847122700298451,False,325,368,0.5,1.9,0.03776949978682076,0.9622305002131792
2006-07-09 14:50:00,1.868245168475692,False,335,368,0.5,1.9,0.022682022517362732,0.9773179774826373
2006-07-09 15:00:00,1.88427734375,False,345,368,0.5,1.9,0.01123046875,0.98876953125
2006-07-09 15:10:00,1.894882120631113,False,355,368,0.5,1.9,0.0036556281206334695,0.9963443718793665
2006-07-09 15:20:00,1.8997223936287706,False,365,368,0.5,1.9,0.0001982902651638252,0.9998017097348362
2006-07-09 15:23:00,1.9,True,0,0,,,,
2006-07-09 15:30:00,1.8984608,False,7,350,1.9,0.6,0.998816,0.0011840000000000002
2006-07-09 15:40:00,1.8910971148688047,False,17,350,1.9,0.6,0.9931516268221574,0.006848373177842566
2006-07-09 15:50:00,1.8779846250728862,False,27,350,1.9,0.6,0.9830650962099126,0.016934903790087462
2006-07-09 16:00:00,1.8594871790087464,False,37,350,1.9,0.6,0.9688362915451896,0.031163708454810497
2006-07-09 16:10:00,1.8359686250728864,False,47,350,1.9,0.6,0.9507450962099125,0.04925490379008746
2006-07-09 16:20:00,1.8077928116618074,False,57,350,1.9,0.6,0.9290713935860058,0.07092860641399418
2006-07-09 16:30:00,1.7753235871720114,False,67,350,1.9,0.6,0.9040950670553936,0.09590493294460642
2006-07-09 16:40:00,1.7389247999999997,False,77,350,1.9,0.6,0.876096,0.123904
2006-07-09 16:50:00,1.698960298542274,False,87,350,1.9,0.6,0.8453540758017493,0.15464592419825074
2006-07-09 17:00:00,1.6557939311953351,False,97,350,1.9,0.6,0.8121491778425656,0.1878508221574344
2006-07-09 17:10:00,1.6097895463556853,False,107,350,1.9,0.6,0.7767611895043732,0.22323881049562683
2006-07-09 17:20:00,1.5613109924198252,False,117,350,1.9,0.6,0.7394699941690963,0.2605300058309038
2006-07-09 17:30:00,1.5107221177842562,False,127,350,1.9,0.6,0.7005554752186588,0.2994445247813412
2006-07-09 17:40:00,1.458386770845481,False,137,350,1.9,0.6,0.6602975160349854,0.33970248396501457
2006-07-09 17:50:00,1.4046688,False,147,350,1.9,0.6,0.6189760000000001,0.3810239999999999
2006-07-09 18:00:00,1.349932053644315,False,157,350,1.9,0.6,0.5768708104956268,0.42312918950437317
2006-07-09 18:10:00,1.2945403801749271,False,167,350,1.9,0.6,0.5342618309037901,0.4657381690962099
2006-07-09 18:20:00,1.2388576279883383,False,177,350,1.9,0.6,0.4914289446064141,0.5085710553935858
2006-07-09 18:30:00,1.1832476454810494,False,187,350,1.9,0.6,0.4486520349854227,0.5513479650145773
2006-07-09 18:40:00,1.1280742810495628,False,197,350,1.9,0.6,0.40621098542274064,0.5937890145772593
2006-07-09 18:50:00,1.073701383090379,False,207,350,1.9,0.6,0.36438567930029153,0.6356143206997085
2006-07-09 19:00:00,1.0204928,False,217,350,1.9,0.6,0.32345599999999997,0.676544
2006-07-09 19:10:00,0.9688123801749271,False,227,350,1.9,0.6,0.2837018309037901,0.7162981690962099
2006-07-09 19:20:00,0.9190239720116615,False,237,350,1.9,0.6,0.24540305539358587,0.7545969446064141
